state,year,less_9th_grade,9_12th_grade,high_school,some_college_no_degree,associate,bachelor,graduate
Mississippi,2012,126497,235003,579270,430549,153049,243099,137382
Mississippi,2013,123655,231716,584838,436007,155909,246100,139885
Mississippi,2014,119170,229320,583633,440011,163693,248884,144880
Mississippi,2015,118558,224018,587586,442478,166725,251230,149770
Mississippi,2016,113287,218979,593422,443815,170289,255615,154276
Mississippi,2017,109885,215393,594140,441829,177536,259993,157325
Mississippi,2018,105815,210530,596564,440894,184334,266274,162903
Mississippi,2019,99936,206169,601355,440191,192866,269736,165417
Mississippi,2020,92808,198227,596914,440709,203255,274566,176633
Mississippi,2021,92200,191322,588217,435644,207794,280355,178573
Missouri,2012,167155,341805,1260509,907325,272744,642058,382018
Missouri,2013,162315,333872,1264139,912460,282763,655633,391426
Missouri,2014,156034,326706,1265481,915730,290937,672563,401479
Missouri,2015,151074,318743,1266920,917017,299637,685454,413455
Missouri,2016,146092,308790,1267813,917451,307566,701863,423802
Missouri,2017,139870,302552,1268884,917414,315780,718198,437511
Missouri,2018,134369,296160,1266430,923045,323751,729543,451540
Missouri,2019,130008,288258,1270622,919879,328720,745843,466719
Missouri,2020,121333,271712,1275987,920515,336661,770259,480325
Missouri,2021,115606,261933,1276601,905553,342927,789957,495242
Montana,2012,16366,38263,202958,168274,54260,132234,58982
Montana,2013,16104,37229,203765,170943,55480,133788,60638
Montana,2014,15317,36414,203825,172907,56669,135759,63069
Montana,2015,14511,35390,208026,171179,57894,138099,65349
Montana,2016,14315,35312,207929,171382,60424,140945,68127
Montana,2017,14526,34918,206323,170126,61718,145089,71219
Montana,2018,14320,34288,208896,169796,64097,148624,74246
Montana,2019,13743,32907,208541,169484,66951,155230,76439
Montana,2020,12577,31651,206206,171489,69269,163183,80313
Montana,2021,11637,30523,207496,174470,71110,166825,84401
Nebraska,2012,48574,64781,339607,287787,110892,225471,107556
Nebraska,2013,49526,64633,336393,289687,114161,230833,110466
Nebraska,2014,49925,64335,335431,289033,117462,235747,113296
Nebraska,2015,49864,63610,334449,290878,120763,238158,117678
Nebraska,2016,50708,63236,330629,288253,123619,245288,121495
Nebraska,2017,50097,62269,329232,288681,126111,251182,126270
Nebraska,2018,49228,61511,326549,285916,130043,258291,130925
Nebraska,2019,47833,59702,326594,285487,132185,262614,136611
Nebraska,2020,47818,58366,324098,285338,134605,269312,140003
Nebraska,2021,47942,57664,326345,286332,136857,274664,145511
Nevada,2012,113649,166105,514459,468061,130846,264760,133149
Nevada,2013,112772,166473,522148,472954,136479,268804,137329
Nevada,2014,113555,166385,529441,481419,140692,274707,141721
Nevada,2015,116829,164068,532115,489887,147840,285510,147988
Nevada,2016,117204,163036,544288,499865,152171,293579,151982
Nevada,2017,116412,162406,556851,506805,159428,306611,159510
Nevada,2018,113903,160260,563229,515011,163699,317510,167838
Nevada,2019,112207,159925,574254,521900,170718,330222,175469
Nevada,2020,111954,162045,584698,525967,176159,348505,184492
Nevada,2021,113023,161737,587588,521376,181391,359703,191900
New Hampshire,2012,25059,52584,265671,173637,87017,191995,111375
New Hampshire,2013,24802,49712,267913,175214,87979,194439,113132
New Hampshire,2014,24121,49369,267359,173926,88466,197937,117855
New Hampshire,2015,22996,48063,266443,176216,88681,202048,120698
New Hampshire,2016,22057,47217,264372,176695,91327,206061,124615
New Hampshire,2017,21106,46172,262891,176656,94088,209224,129334
New Hampshire,2018,21176,46431,263005,177691,96387,213277,134148
New Hampshire,2019,20410,45796,263321,177410,97663,218013,137724
New Hampshire,2020,21380,44075,264953,174701,101368,223814,140871
New Hampshire,2021,20896,41913,269342,175537,101383,230314,146721
New Jersey,2012,326107,396922,1741272,1023647,369470,1314380,797718
New Jersey,2013,327689,385198,1743628,1024284,375299,1336219,815429
New Jersey,2014,325689,376809,1743267,1026756,379962,1362013,838125
New Jersey,2015,324708,368745,1741562,1029575,385049,1387201,854655
New Jersey,2016,318098,360515,1726006,1027215,390672,1411979,878062
New Jersey,2017,315598,351184,1722597,1026060,400424,1439971,907865
New Jersey,2018,303217,337896,1683568,1019736,401069,1457910,926146
New Jersey,2019,298624,327307,1670942,1006683,401872,1489653,951298
New Jersey,2020,287866,312895,1649853,996254,409571,1530150,982912
New Jersey,2021,295145,313732,1693560,1017727,430589,1611515,1049338
New Mexico,2012,98581,122562,351718,319412,99775,195148,146730
New Mexico,2013,98966,121550,356058,321325,101660,198521,149149
New Mexico,2014,96892,121093,358007,324492,104758,201686,153085
New Mexico,2015,95687,120873,361324,322648,107215,202298,157777
New Mexico,2016,92818,118383,362627,322880,110974,206247,159991
New Mexico,2017,89609,117878,365014,324980,112855,208790,162504
New Mexico,2018,86723,118835,368487,327375,114664,213129,165067
New Mexico,2019,84492,117758,371338,328226,118038,215662,167857
New Mexico,2020,79336,111740,370125,331091,124718,223875,174413
New Mexico,2021,77358,111357,371398,331937,127548,225538,181503
New York,2012,903418,1078432,3578443,2155666,1090117,2442722,1853184
New York,2013,900244,1061006,3586409,2163527,1113374,2491222,1895278
New York,2014,900417,1048770,3591512,2169590,1130032,2544961,1944452
New York,2015,894391,1035726,3588894,2176309,1144351,2604077,1992047
New York,2016,882123,1018769,3569454,2177984,1164307,2654203,2037243
New York,2017,884080,1011359,3591287,2169152,1184118,2718987,2101826
New York,2018,857177,982672,3556251,2137839,1184265,2748577,2139561
New York,2019,838231,958363,3541274,2118022,1190240,2799878,2185929
New York,2020,820567,923323,3474389,2109389,1208697,2854930,2257862
New York,2021,842371,927286,3553598,2144475,1246638,2996306,2370406
North Carolina,2012,373691,606026,1722998,1381228,543531,1126665,569980
North Carolina,2013,365600,599537,1733132,1405290,557054,1154451,592958
North Carolina,2014,356797,590605,1744316,1424961,573109,1185011,620248
North Carolina,2015,355435,578830,1755995,1435877,589399,1213587,653178
North Carolina,2016,345302,569525,1765772,1455858,607780,1255557,684878
North Carolina,2017,333408,556286,1771742,1468899,627997,1303604,722112
North Carolina,2018,322916,546950,1780253,1479791,652658,1345846,753360
North Carolina,2019,314545,538851,1791532,1480933,675145,1395214,787639
North Carolina,2020,301823,513393,1806403,1500016,701248,1448972,824918
North Carolina,2021,292419,484267,1787594,1474628,706805,1481848,857315
North Dakota,2012,21104,21002,120581,105668,54634,86925,32875
North Dakota,2013,20323,20889,122195,107155,57325,88476,34066
North Dakota,2014,18937,20803,125620,108378,59512,90032,35245
North Dakota,2015,18153,20552,128248,109591,61952,93946,35588
North Dakota,2016,16846,21188,131086,110039,63894,97890,36664
North Dakota,2017,15927,21535,131653,110330,65775,102497,37773
North Dakota,2018,15703,21091,131264,110567,67212,105552,38844
