GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,SARPP,2,"..."," RPPs: Goods ","Index",101.882,101.821,100.008,100.506,99.814,98.349,98.453,100.605,100.389,99.986,99.822,97.220,97.398,95.497
 "44000","Rhode Island",1,SARPP,2,"..."," RPPs: Goods ","Index",100.372,101.005,97.867,98.109,97.727,97.491,97.439,98.866,98.662,99.639,100.896,98.924,98.282,98.040
 "45000","South Carolina",5,SARPP,2,"..."," RPPs: Goods ","Index",96.764,94.230,96.710,96.063,95.275,95.989,96.157,95.106,95.900,95.757,95.579,95.886,95.624,96.037
 "46000","South Dakota",4,SARPP,2,"..."," RPPs: Goods ","Index",84.389,89.604,94.761,94.818,96.078,95.914,97.409,97.286,96.023,94.877,95.949,97.903,96.228,93.924
 "47000","Tennessee",5,SARPP,2,"..."," RPPs: Goods ","Index",96.568,94.100,96.746,96.114,95.287,96.077,96.079,95.009,95.885,95.713,92.078,94.449,94.386,94.351
 "48000","Texas",6,SARPP,2,"..."," RPPs: Goods ","Index",97.199,96.154,98.079,96.505,97.578,97.540,97.323,97.059,98.438,97.197,97.093,97.862,98.086,98.609
 "49000","Utah",7,SARPP,2,"..."," RPPs: Goods ","Index",96.938,101.123,98.879,100.080,99.633,97.720,96.862,97.466,95.476,99.208,96.727,98.799,94.785,96.453
 "50000","Vermont",1,SARPP,2,"..."," RPPs: Goods ","Index",100.747,101.313,98.557,98.579,99.181,98.341,98.155,99.154,98.900,99.773,100.783,98.620,98.705,97.894
 "51000","Virginia",5,SARPP,2,"..."," RPPs: Goods ","Index",102.790,101.866,101.750,100.663,99.396,101.365,99.067,98.678,99.346,98.906,99.982,99.194,99.564,101.497
 "53000","Washington",8,SARPP,2,"..."," RPPs: Goods ","Index",104.563,104.845,103.182,103.813,100.416,100.975,102.210,103.579,102.598,105.705,104.970,106.342,108.925,111.491
 "54000","West Virginia",5,SARPP,2,"..."," RPPs: Goods ","Index",96.996,94.533,97.358,96.107,94.229,95.545,95.093,94.366,95.349,94.523,95.682,96.009,95.522,96.591
 "55000","Wisconsin",3,SARPP,2,"..."," RPPs: Goods ","Index",91.307,94.963,95.711,95.511,96.868,96.152,96.931,98.567,97.470,97.620,98.237,96.928,95.198,95.685
 "56000","Wyoming",7,SARPP,2,"..."," RPPs: Goods ","Index",99.407,99.080,98.730,98.974,98.857,97.805,97.880,101.266,101.953,102.137,96.111,98.590,96.931,96.513
 "00000","United States", ,SARPP,3,"..."," RPPs: Services: Housing ","Index",100.303,100.348,100.298,100.325,100.301,100.312,100.259,100.297,100.292,100.086,100.084,100.084,100.257,100.377
 "01000","Alabama",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",60.372,60.124,62.098,61.242,62.543,61.666,60.914,59.570,60.710,61.149,59.690,60.307,59.613,60.658
 "02000","Alaska",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",120.098,125.287,119.202,125.199,123.610,121.457,127.012,125.302,120.786,109.443,104.493,100.943,88.739,102.864
 "04000","Arizona",6,SARPP,3,"..."," RPPs: Services: Housing ","Index",103.716,102.287,97.191,95.730,95.717,94.485,93.518,94.148,93.712,93.535,94.258,93.632,97.971,102.390
 "05000","Arkansas",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",58.226,57.899,59.852,61.024,60.368,59.832,59.499,60.208,59.366,57.674,56.161,56.844,56.933,59.456
 "06000","California",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",158.619,157.404,155.800,153.570,153.413,152.151,153.998,154.685,155.338,162.427,163.745,164.598,166.067,164.896
 "08000","Colorado",7,SARPP,3,"..."," RPPs: Services: Housing ","Index",110.069,110.816,110.093,113.546,113.133,115.541,116.494,122.051,123.788,128.909,128.353,131.081,130.400,129.485
